ticker,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
MMM,USD,36500000000,13709000000,13000000,393000000,4366000000,5020000000,23106000000,8738000000,16135000000,12708000000,2657000000,10051000000,575000000,107000000,380000000,349000000,1345000000,26652000000,7244000000,2266000000,617000000,1211000000,1194000000,21036000000,75000000,14156000000,17000000,13411000000,15350000000,2775000000,3010000000,9796000000,29626000000,40636000000,9000000,576575168,2258000000,None,None,272000000,-344000000,371000000,531000000,-291000000,-53000000,1349000000,-416000000,-2152000000,414000000,1269000000,1269000000,None,787000000,787000000,None,None,None,None,-1185000000,84000000,1349000000,-22000000,1347000000,3885000000,7945000000,4060000000,4060000000,1783000000,1682000000,437000000,2979000000,None,-95000000,None,95000000,7945000000,-63000000,None,61000000,1718000000,371000000,95000000,3885000000,1448000000,1813000000,1874000000,2019-01-29,2.31,2.2767,0.0333,1.4626
AOS,USD,3071500000,1638500000,259700000,645000000,304700000,647300000,1433000000,540000000,556800000,806100000,293100000,513000000,385300000,None,385300000,41500000,86900000,1354500000,785300000,543800000,47000000,None,None,569200000,None,221400000,0,221400000,221400000,43200000,200700000,1717000000,827200000,2102800000,164500000,169265139,159700000,-24800000,None,None,None,18700000,26700000,None,-7700000,337000000,-27100000,-105900000,0,96600000,96600000,None,37600000,37600000,None,None,0,None,-96600000,None,26700000,None,126300000,337000000,812500000,682600000,475500000,167100000,186100000,None,301100000,None,-1800000,None,1800000,812500000,5700000,None,18700000,154800000,28500000,1800000,337000000,93700000,156600000,175300000,2019-01-29,0.74,0.708,0.032,4.5198
ABT,USD,67173000000,14632000000,3844000000,4086000000,3796000000,5182000000,50775000000,7563000000,8143000000,42196000000,18942000000,23254000000,325000000,897000000,242000000,1568000000,17000000,36649000000,9012000000,2975000000,259000000,207000000,200000000,21399000000,None,19366000000,7000000,19359000000,19566000000,868000000,None,30524000000,9962000000,24560000000,23512000000,1760946000,1765000000,None,None,None,-49000000,763000000,467000000,-90000000,64000000,654000000,-496000000,-4776000000,-48000000,104000000,104000000,None,495000000,495000000,None,None,-2000000,None,-77000000,None,655000000,None,654000000,4086000000,7765000000,6038000000,3191000000,1165000000,2359000000,562000000,3409000000,34000000,-186000000,None,186000000,7765000000,46000000,275000000,488000000,946000000,292000000,272000000,655000000,414000000,1132000000,1620000000,2019-01-23,0.81,0.8086,0.0014,0.1731
ABBV,USD,59352000000,16945000000,7289000000,8061000000,1605000000,5872000000,42407000000,2883000000,5513000000,36896000000,21233000000,15663000000,None,1420000000,772000000,1895000000,1208000000,74183000000,17239000000,1546000000,None,5308000000,3699000000,49492000000,None,35002000000,1609000000,None,3699000000,5355000000,1307000000,-8446000000,24108000000,3368000000,18000000,1496000000,3392000000,None,None,-691000000,-283000000,442000000,123000000,-215000000,-141000000,-1826000000,-283000000,-3825000000,699000000,2058000000,2058000000,None,1451000000,1451000000,None,None,0,None,-2051000000,None,-726000000,-10000000,-1826000000,6283000000,8305000000,2022000000,2022000000,-2441000000,1929000000,6795000000,14128000000,61000000,-380000000,None,380000000,8299000000,393000000,122000000,320000000,-2373000000,-547000000,380000000,6283000000,-1747000000,-1993000000,-1673000000,2019-01-25,1.9,1.9331,-0.0331,-1.7123
ABMD,USD,957116000,628728000,84181000,84181000,71808000,88215000,328388000,138455000,36175000,48776000,15516000,33260000,40800000,40800000,373975000,10549000,44707000,105586000,92980000,26179000,None,None,None,12606000,None,None,None,None,None,15080000,1185000,851530000,138289000,325513000,451000,45058049,74615000,1700000,None,5238000,21244000,-7143000,27134000,14137000,9772000,44863000,-65818000,-1116000,None,0,0,None,None,None,None,None,None,None,431000,None,7799000,118000,44862000,86320000,200563000,114243000,34023000,62355000,80220000,23965000,104185000,2175000,None,None,None,200563000,-20000,None,3589000,64510000,19648000,None,44862000,44081000,62355000,65944000,2019-01-31,0.93,0.9633,-0.0333,-3.4569
ACN,USD,26706412000,13540408000,4363790000,4366906000,None,7450798000,13166004000,1243268000,1928809000,6219615000,696928000,5522687000,80782000,231980000,3116000,1150445000,1219542000,14027556000,10176335000,1355538000,None,4727000,4727000,3474509000,None,19896000,4727000,None,24623000,809765000,423288000,12678856000,2748448000,10384064000,72000,638877445,1027508000,297166000,None,2250000,695303000,211685000,77691000,536882000,None,1289436000,-272868000,-1462168000,0,788327000,788327000,None,932838000,932838000,None,None,None,None,-522145000,None,-697570000,9958000,1274720000,3297425000,10605546000,7308121000,7308121000,1629012000,1668413000,None,1708506000,19631000,-4505000,None,4505000,-48983000,-33654000,102713000,40093000,1593880000,319160000,4505000,1291324000,1374345000,1598385000,1638478000,2018-12-20,1.96,1.8546,0.1054,5.6832
ATVI,USD,17890000000,6106000000,4225000000,4225000000,43000000,1035000000,11261000000,282000000,770000000,10497000000,735000000,9762000000,None,None,150000000,803000000,482000000,6498000000,2642000000,253000000,None,None,None,4090000000,None,2671000000,None,2671000000,2671000000,1493000000,1147000000,11392000000,5563000000,6593000000,0,765000000,999000000,None,None,-235000000,318000000,230000000,34000000,404000000,-122000000,694000000,-70000000,0,None,0,0,None,0,0,None,None,0,None,8000000,None,694000000,-16000000,685000000,1549000000,2381000000,832000000,832000000,694000000,530000000,325000000,979000000,None,-27000000,None,27000000,2381000000,-4000000,None,124000000,689000000,4000000,27000000,694000000,694000000,694000000,840000000,2019-02-12,1.29,1.2896,0.0004,0.031
ADM,USD,40833000000,20588000000,1997000000,2003000000,8813000000,2267000000,20245000000,9953000000,15149000000,4041000000,1545000000,2496000000,5330000000,5324000000,6000000,3039000000,934000000,31633000000,11776000000,3545000000,501000000,690000000,108000000,10012000000,None,8280000000,582000000,7698000000,8388000000,2913000000,1247000000,13681000000,5300000000,18527000000,2560000000,564000000,-1104000000,None,None,539000000,1265000000,235000000,287000000,2739000000,352000000,317000000,2007000000,291000000,-426000000,77000000,77000000,None,190000000,190000000,None,None,1000000000,None,0,None,1053000000,None,315000000,1053000000,15947000000,14894000000,14894000000,1053000000,558000000,141000000,1003000000,47000000,-97000000,None,97000000,-48351000000,-98000000,None,235000000,310000000,-5000000,97000000,1053000000,241000000,407000000,642000000,2019-02-05,0.88,0.9212,-0.0412,-4.4724
ADBE,USD,18768682000,4857039000,1643000000,3228962000,None,1315578000,13911643000,1075072000,1405836000,12650049000,2069001000,10581000000,612104000,None,1586187000,312499000,186522000,9406568000,4301126000,186258000,None,0,None,4921110000,None,4124800000,None,None,4124800000,2915974000,152209000,9362000000,7990751000,11815597000,61000,487663000,1107689000,19504000,None,-58329000,188387000,106228000,62563000,201002000,None,699217000,-3138583000,1925299000,None,300000000,300000000,None,None,None,None,None,0,None,-298753000,1257000,-104369000,1523000,678240000,2105364000,2464625000,359262000,-744438000,720177000,935928000,415958000,1385178000,22578000,-27873000,-242000,27631000,-12152000,9657000,None,224200000,699115000,20875000,27873000,699217000,658693000,726746000,950946000,2018-12-13,1.83,1.835,-0.005,-0.2725
ADP,USD,38806300000,31682600000,2785600000,2789000000,None,2638100000,23926900000,772700000,None,3248100000,926700000,2321400000,2796200000,7200000,3400000,653000000,739700000,34042400000,30296900000,151300000,410200000,2600000,0,3745500000,None,4014300000,2600000,2002300000,4014300000,26066300000,752500000,4763900000,12720200000,16959100000,63900000,436200000,782300000,30100000,None,386300000,554000000,97500000,102300000,430800000,None,558200000,-16500000,329400000,1206000000,299500000,299500000,None,302400000,302400000,None,None,None,None,-299500000,None,558200000,None,558200000,1492200000,3492400000,2000200000,2000200000,-1835400000,745200000,156100000,2527000000,28100000,-38600000,None,38600000,3505900000,32600000,None,55400000,741000000,182800000,38600000,558200000,683300000,779600000,835000000,2019-01-30,1.34,1.1831,0.1569,13.2618
